,symbol,meaning
47,Acento: ,Hablar o escuchar hablar con acento indica que recibirá buenas noticias. 
48,Acequia: ,Simboliza el instinto femenino. 
49,Acera: ,-Si nos subimos a la acera hemos alcanzado cierta seguridad en la vida. -Si paseamos por ella nos sentimos seguros de nuestra posición. -Si bajamos de ella indica que podemos perder esta situación que nos da seguridad. 
50,Acero: ,"Indica éxito gracias a su voluntad, firmeza, solidez y decisión. "
51,Achaques: ,Si se acompaña de sensación placentera indica éxito económico. Si no es así consultaremos al médico. 
52,Achicoria: ,Hipocresía de quienes le rodean. 
53,Acicalarse: ,"Si aparecen personas muy maquilladas o somos nosotros mismos, el sueño nos está indicando falsedad en las relaciones de amistad. "
54,Ácidos: ,Pronto nos engañarán. 
55,Aclamar: ,Soñar que somos aclamados señala peligro. No te dejes arrastrar por las bajas pasiones. 
56,Aclarar: ,Descubriremos un asunto sospechoso. 
57,Acoger: , Si acogemos a alguien nos veremos protegidos y apoyado en nuestras actividades por la misma persona. Si rechazamos a una persona en sueños indica la cercanía de una amenaza de traición. 
58,Acolchado: ,Dulzura y ternura. Todos te querrán. 
59,Acomodador: ,Según las circunstancias del sueño significará que nos quieren situar en un buen o mal puesto en lo profesional. 
60,Acompañar: ,Tendremos una visita inesperada que nos alegrará. 
61,Acontecimientos: ,Procure rodearse de personas sencillas y leales. 
62,Acoplar: ,Nacimiento en la familia. 
63,Acordeón: ,Felicidad en las relaciones familiares. 
64,Acostarse: ,Acostado solo presagia un periodo de incertidumbre. -Acostados a la intemperie es solamente una incomodidad transitoria. -Con una persona del mismo sexo sentiremos tormento por lo que dirán los demás. -Con una persona de otro sexo indica que nuestros problemas han finalizado. 
65,- Acreditar: ,Herencia próxima. 
66,Acreedor: ,Malas noticias. 
67,Acrimonia: ,Enfrentamientos. 
68,Acróbata: ,Si realizamos la acrobacia con éxito saldremos fortalecidos de la situación actual. Si la realizamos sin éxito fracasaremos o tendremos pérdidas económicas. 
69,- - Actores: ,Verlos significan placeres frívolos y serlo éxito. 
70,Acuarela: ,Tranquilidad en un periodo agitado de la vida. 
71,Acuario: ,Ver los peces nadando es una señal de tranquilidad y felicidad. 
72,Acueducto: , Si se encuentra en buen estado señala abundancia y si está viejo y abandonado pobreza. 
73,Acuerdo: ,Éxito en los negocios. 
74,Acumular: ,Tratandose de dinero debemos tener cuidado pues nos amenaza una posible pérdida. -Si se trata de objetos alguien conspira contra nosotros. 
75,- Acusar: ,-Si el acusado eres tu es un presagio de alegría. -Si el acusado es otra persona presagia inquietudes de todas clases. 
76,Adán y Eva: ,Próximo nacimiento en la familia. Éxito afectivo y profesional. 
77,Adelantarse: ,Indica que el soñador tiene unas ambiciones excesivas. 
78,Adelgazar: ,Este sueño es un aviso para que cuidemos nuestra salud. 
79,Adiós: ,-Si alguien se despide de nosotros abandonaremos algo que no nos beneficia nada. -Si somos nosotros los que nos despedimos de una persona indica que pronto volveremos a verla. -Si en la despedida lloramos nos espera una gran felicidad. 
80,Adivinar: ,-Soñar que consultamos cualquier medio de adivinación presagia angustias. -Si somos nosotros los que predecimos la suerte a otras personas indica que estas nos serán de utilidad. 
81,Adjudicación: ,Problemas comerciales. 
82,Administración: ,"Mala suerte, los proyectos no se realizarán por muchos esfuerzos que emplee en ello. "
83,Admirar: ,Malos amigos entre tus relaciones. 
84,Adolescente: ,Este sueño señala ideales imposibles. Búsqueda de una pareja demasiado perfecta. 
85,Adoptar: ,-Si en la realidad no tienes hijos el sueño indica que desearías tenerlos. -Si los tienes significa que cargamos con responsabilidades que no nos corresponden pudiendo ser causa tanto de admiración como de obstáculos. 
86,Adorar: , -A Dios o a La Virgen indicio de alegrías y paz. -A una persona augura problemas sentimentales sin consecuencias. 
87,Adormecerse: ,"Contrariedades, relaciones familiares difíciles. "
88,Adormidera: ,Decepción sentimental. 
89,Adornos: ,Dignidades y honores. 
90,Adquisición: ,Suerte en los negocios. 
91,Aduana: ,-Verla o detenerse ante ella significa obstáculos en sus actividades. -Pasar la aduana indica un progreso favorable. -No poderla pasar pronostica mala suerte. 
92,Adular: ,-Si somos adulados debemos desconfiar de la persona que refleja el sueño. -Si somos nosotros los que adulamos sinceramente obtendremos lo que deseamos. -Si adulamos falsamente nos veremos humillados en la realidad. 
93,Adulterio: ,Disconformidad con el comportamiento de nuestra pareja. 
94,Adversario: ,-Si vencemos tendremos contratiempos. -Si nos vencen conseguiremos un triunfo importante en la vida real. 
95,Adversidad: ,Éxito inesperado. 
96,Aeropuerto: ,Los instantes de espera antes de iniciar un viaje simbolizan nuestras dudas. Todo lo que suceda en el aeropuerto será una premonición de lo que nos espera. -Si el avión se retrasa o no llega tendremos impedimentos para tomar un nuevo rumbo en nuestra vida. -Si todo transcurre felizmente los presagios no pueden ser mejores. 
97,Afecto: ,Sentir afecto indica honores y distinción. Importantes ganancias de dinero. 
98,Afectación: ,Se verá envuelto en un lío sin consecuencias. 
99,Afeitar: , Será engañado por amistades o familiares. 
100,Afilar: ,-Si somos nosotros los que afilamos señala que en nuestro interior existen sentimientos agresivos. -Si quien afila es otra persona es de temer que desee perjudicarnos. 
101,Afinar: ,Indica que debemos reconciliarnos con quien hemos soñado. 
102,Aflicción: ,Presagio feliz. 
103,Afluencia: ,Negocios poco afortunados. 
104,Afonía: ,Es una amenaza para nuestra independencia. 
105,Afrenta: ,-Si se sufre anuncia un éxito inesperado. -Si se hace a otra persona indica problemas y desavenencias familiares o profesionales. 
106,Ágata: ,Presagia que sufriremos una corta enfermedad que superaremos fácilmente. 
107,Agenda: ,Para que en tu hogar las cosas marchen bien deberás rechazar una cita. 
108,Agente: ,Resolverá dificultades con la autoridad resultando vencedor/a. 
109,Agitación: ,Próximas dificultades. Soledad y tristeza. 
110,Agonía: ,Augura un cambio radical. -Si estamos enfermos indica que sanaremos pronto. -Si estamos sanos vigilaremos nuestra salud. 
111,Agotamiento: ,Fracaso de sus gestiones. 
112,Agradecimiento: ,Relaciones favorables con los demás. 
113,Agresión: ,-Si somos nosotros los agradecidos significa que recibiremos una ayuda inesperada. -Si agradecemos nosotros nuestros proyectos no se realizarán por excesiva precipitación. 
114,Agretes: ,Buena fortuna.  
115,Agricultura: ,Es signo de felicidad. -Si el campo está bien cuidado indica felicidad floreciente. -Si el campo está descuidado es la felicidad del conformista. 
116,Agrio: ,Molestias y pesares. 
117,Aguinaldo: ,Síntoma de ingratitud. 
118,Agua: ,"El agua en el lenguaje de los sueños es muy significativa, simboliza la vida, los sentimientos, es decir, la vida interior de las personas. -Cuando el agua es clara y limpia anuncia una vida tan larga y feliz como nuestros sentimientos: *El agua mineral simboliza convalecencia, mejoría de la salud. *El agua bendita salud física y espiritual. -Si el agua es sucia o estancada pronostica males y desgracias de carácter moral por lo general: *Si el agua se presenta amarga, turbia o amarillenta pronostica enfermedad. *Corrompida, vivir con rabia en el cuerpo. *Hedionda, bienes mal adquiridos. *Estancada, pérdida de libertad. *Negruzca, matrimonio desgraciado. -Recibir agua en un recipiente indica salud. -Recibir agua y guardarla sin beber indica avaricia. -Si nosotros llevamos agua a otra casa recibiendo dinero en realidad estamos vendiendo nuestra honradez y pureza. -Si la llevamos sin cobrar demuestra piedad y religiosidad. -El agua de lluvia pronostica abundante cosecha salvo que empape la tierra y desaparezca rápidamente, entonces indica pérdida de bienes y humillaciones. -Si caen goteras en una casa sin que este lloviendo anuncia duelo en esa casa. Si solo es una gotera lo que anuncia son sufrimientos y peligros para el soñador. -Si el agua, no importa su procedencia, corre por la casa es un mal presagio. Si vemos manar agua de las paredes indica duelo por parientes o amigos. -Ver manar una fuente de agua dentro de una propiedad del soñador anuncia gran prosperidad material acompañada de buenos sentimientos. -Caminar sobre el agua nos dice que estamos atravesando un periodo peligroso. Si nos hundimos corremos grave peligro.  -Ver mucha agua agitada por el fuerte oleaje presagia penas y sufrimientos. Si el agua es apacible y tranquila significa felicidad. -Si nos miramos en el agua y nos reflejamos claramente indica que conseguiremos la riqueza y si nos refleja más bellos de lo que somos en la realidad encontraremos amor en los demás. -Beber agua fría presagia salud y caliente enfermedad. -Bañarse en agua fría presagia incomprensión. Templada felicidad y muy caliente separación o divorcio. "
119,Aguacate: ,Eres apreciado por tus amigos. 
120,Aguacero: ,"Suerte, éxito financiero. "
121,Aguamarina: ,-Poseerla significa alegría y entendimiento conyugal. -Perderla indica desilusión amorosa. 
122,Aguardiente: ,Placeres de corta duración. 
123,Águila: ,"Soñar con un águila representa dominio y triunfo cuando nos identificamos con ella, y angustia si nos infunde temor o dolor. -Si la vemos volando tranquila en la vida real estamos a punto de sacrificarlo todo por un ideal. -Si te ataca indica que te ves incapaz de asumir la responsabilidad de un amor verdadero. -Verla volar ascendiendo al cielo señala que veremos conseguidos nuestros objetivos. -Si vuela lento o interrumpidamente indica retrasos. -Si está inmóvil no alcanzaremos el fin propuesto. -Si cae lo mismo ocurrirá con nuestros proyectos. -Si la vemos volando con su presa deberemos tener cuidado con nuestros enemigos. -Si se abalanza sobre nosotros o nos hiere corremos peligro. -Verla enjaulada augura humillación. "
124,Agujas: ,"-Si son de ganchillo o de tricotar indica que nos enteraremos de lo que se dice de nosotros a espaldas nuestras. -Las agujas de coser si están con hilo son un buen augurio. -Sin hilo, rotas o nos pinchamos con ellas son mal augurio. -Si son alfileres presagia pequeñas decepciones causadas por los amigos. "
125,Agujerear: ,Sus familiares no están conformes con su actitud.  
126,Agujero: ,-Indica peligro para su reputación. -Si desde el borde quiere examinar el fondo su situación mejorará. -Si cae al fondo tendrá grandes dificultades. 
127,Ahijado/a: ,Una amistad nos ayudará en breve. 
128,Ahogado: ,-Verlo es un buen augurio. Anuncia una herencia o el ascenso en el trabajo. -Ahogarse indica contrariedades en cualquier ámbito salvo que estemos agotados en la vida real que entonces indica que necesitamos unas vacaciones. 
129,Ahorcado: ,-Verlo indica pérdida de dinero. -Serlo presagia la recuperación de cosas perdidas. 
130,Aire: ,-Si el aire es una suave brisa nos espera una época tranquila y si es perfumado aun mejor. -Si está agitado augura peligro cercano y si es frío indica la pérdida de un amigo sincero. -Si es brumoso nos dice que seamos prudentes. -Si es oscuro tendremos problemas con nuestros superiores aunque si se aclara nos estará diciendo que fueron malos entendidos y todo se solucionará. 
131,Ajedrez: ,Todo saldrá según nuestros cálculos. 
132,Ajo: ,Discusiones con parientes. 
133,Ajuar: ,Augura felicidad. 
134,Alabanzas: ,También en la vida real las recibiremos pero no debemos confiar en ellas. 
135,Alacena: ,Indica bienestar y éxitos profesionales. 
136,Alambre: ,Relaciones difíciles. 
137,Alambique: ,Proyecto realizado con éxito. 
138,Alameda: ,Augura cambios favorables. 
139,Álamo: , Ganancias financieras. 
140,Alarma: ,"Cambio de situación, contrariedades. "
141,Alas: ,"Es el signo de la victoria, se un poco lanzado/a y verás un cambio en tu situación. "
142,Alba: ,Renovación. Comienza un período dichoso. 
143,Albacea: ,Debes poner en orden los asuntos familiares. 
144,Albahaca: ,Es presagio de amargura. 
145,Albañil: ,Realización de sus proyectos. 
146,Albaricoque: ,-Si el árbol está en flor es un buen augurio para nuestras esperanzas. -Si está lleno de albaricoques tendremos en nuestra vida nuevas oportunidades. -Si está seco prestaremos más atención a nuestros asuntos financieros para evitar engaños. 
147,Albatros: ,Parientes o amigos necesitan su ayuda. Novedades próximas. 
148,Albayalde: ,Envenenamiento. 
149,Albergue: ,-Si está lleno anuncia un próximo reposo. -Si está vacío una desgracia. 
150,Albino: ,Verlo en sueños presagia una vejez anticipada. 
151,Albóndigas: ,"Si son de carne augura curación, situación estable. "
152,Albornoz: ,Indica descanso. 
153,Alboroto: ,Malas especulaciones. Pérdidas. 
154,Álbum: ,Recuerdos felices. Este sueño marca el fin de una época de su vida. 
155,Albura: ,"Aislamiento, abandono.  "
156,Alcachofa: ,Para alcanzar el amor que deseamos debemos ser pacientes y persistir con ternura. 
157,Alcalde: ,Personas influyentes intervendrán en su favor. 
158,Alcancía: ,Reduzca sus gastos. 
159,Alcantarilla: ,Peleas violentas. 
160,Alcanzar: ,Sus deseos de triunfar quedarán recompensados. 
161,Alcaparras: ,Recibirá malas noticias. 
162,Alcázar: ,-Permanecer afuera indica que sus ambiciones se verán frustradas. -Encontrarse en su interior augura la realización de sus esperanzas y suerte. 
163,Alce: ,-Si van en manada indica prosperidad y éxitos cercanos. -Si se le mata proyectos frustrados. 
164,Alcohol: ,Señala la deslealtad y falsedad de quienes le rodean. 
165,Alcornoque: ,"Su corteza (el corcho) simboliza que nos sentimos como adolescentes, y si lo somos, nos embarga la alegría de vivir. "
166,Aldea: ,-Si es agradable y soleada augura una vida serena. -Si es triste y abandonada indica un cambio en su manera de vivir. -Si es pequeña se avecinan sucesos muy agradables. 
167,Alegato: ,Preocupaciones relacionadas con organismos oficiales. 
168,Alegría: ,Deberá enfrentarse con la realidad. Inquietudes. 
169,Alelí: ,Honestidad. Signo de juventud del cuerpo y del alma. 
170,Alentar: ,Riesgo de ser engañado. 
171,Alergia: , Mala suerte. 
172,Alerta: ,Cambios importantes. El transcurso del sueño le indicará como finalizará este cambio. 
173,Aleta: ,Presagio positivo. Tomará importantes decisiones. Si la aleta está rota indica falsas esperanzas. 
174,Alfabeto: ,Numerosos sacrificios. 
175,Alfalfa: ,Ambiente familiar feliz. 
176,Alfiler: ,Anuncia discordias familiares. Pérdida financiera. 
177,Alfombra: ,-Si caminamos sobre ella indica que viviremos con holgura gracias a nuestro trabajo. -Si la encontramos extendida donde no debiera indica que estaremos dispuestos a recurrir a cualquier medio para conseguir nuestros propósitos. 
178,Alforfón: ,Miseria y penuria. 
179,Alforjas: ,Si están vacías indica pobreza y si están llenas riqueza. 
180,Álgebra: ,Su negocio funcionará con éxito. 
181,Algodón: ,Empieza una época delicada. Desea la felicidad. 
182,Alianza: ,Promesa de matrimonio. 
183,Alienado: ,-Estarlo indica impedimentos para sus proyectos. -Si son otros usted triunfará. 
184,Aliento: ,-Perderlo indica angustias. -Recuperarlo indica que recuperará la seguridad en sus decisiones. -Tener mal aliento indica celos. 
185,Alimentos: ,"-Si son agradables de comer indica acontecimientos prometedores y si son amargos angustia y soledad. -De sabor muy fuerte, afrentas.  -Muy calientes nerviosismo y muy fríos molestias de salud. -Cocinarlos, acuerdo familiar. -Ofrecerlos felicidad en el hogar y rechazarlos conflictos familiares. "
186,Alma: ,-Ver un alma en pena indica inquietudes y pobreza. -Verla subir al cielo anuncia una noticia afortunada. 
187,Almacén: ,"Buenas perspectivas, comodidad. "
188,Almadía: ,Sigue adelante con tus proyectos. 
189,Almena: ,Su futuro próximo le depara litigios y molestias. 
190,Almendras: ,"-Si están en flor indica la feliz realización de nuestros proyectos, pero si cae la flor indica próximas decepciones. -Si vemos las almendras pero no las tocamos presagia dificultades. -Si las recogemos nos espera la felicidad. -Si las sacamos de la cáscara augura ganancias. -Si son amargas indica disturbios familiares sin consecuencias. "
191,Almiar: ,Indica una situación desahogada. 
192,Almíbar: ,Pequeñas ganancias. 
193,Almidón: ,Confianza mal depositada. 
194,Almirante: ,Así como actue el almirante será tu postura ante los problemas de la vida. 
195,Almizcle: ,Pasiones sensuales. 
196,Almohada: ,Goces afectivos salvo que esté sucia y rota que significa tristeza y soledad. 
197,Almorzar: ,"Revela insatisfacción debida a causas psíquicas, emocionales o profesionales. -Si soñamos que comemos algo que no nos gusta presagia que deberemos enfrentarnos a algo desagradable. También el significado es el mismo si tenemos dificultades al masticar o tragar. -Comer acompañados revela amistad y afinidad con los demás.  -Comer solos, tristeza y depresión. -Si comemos alimentos naturales y sencillos significa que estamos aprovechando bien las experiencias de la vida. -Si comemos dulces significa que tenemos vivencias sentimentales agradables y positivas. -Si el sueño nos informa del precio o robamos los dulces revela un exceso de sentimentalismo. "
198,Alojarse: ,Si el lugar es desconocido anuncia problemas y si es un lugar agradable se anuncia un período feliz. 
199,Alondra: ,-Si la vemos volando es muy buen presagio de fortuna. -Si desciende o le ocurre algo finalizan nuestras esperanzas. -Si está posada en el suelo nos advierte de que seamos prudentes. 
200,Alpes: ,"Éxito, elevación próxima. "
201,Alpinista: ,Logros en sus empresas. Salud excelente. 
202,Alquilar: ,Anuncia cambios en sus condiciones de vida. 
203,Alquimista: ,Es un aviso para que saque más provecho de las enseñanzas que recibe. 
204,Alquitrán: ,Es un mal augurio. Indica malas relaciones y pérdidas financieras. 
205,Altar: ,"-Si aparece en buenas condiciones es un buen augurio, presagia el matrimonio nuestro o de algún conocido. -Si está derruido es un mal presagio, la pérdida de la consideración. "
206,Altavoz: ,Anuncia noticias importantes a las que acudirá con eficacia y rapidez. 
207,Alteración: ,Es muestra de tristeza. 
208,Altercado: ,Anuncia preocupaciones. 
209,Altivez: ,Indica que está cometiendo el error de subestimar a sus inferiores en todas las áreas. 
210,Altura: ,Indica que a más altura mayor será el éxito. 
211,Alumbre: ," Triunfo, victoria. "
212,Alumnos: ,-Serlo indica una inquietud por sus hijos. -Verlos indica que tiene dudas sobre su situación. 
213,Aluviones: ,Augura un porvenir mejor. 
214,Ama: ,Le advierte que debe tener cuidado con su alimentación. 
215,Amamantar: ,Anuncia una posible maternidad. 
216,Amanecer: ,Finalizan nuestras penas. Renovado optimismo. 
217,Amante: ,-Si no tienes ninguna relación sentimental indica que existen perspectivas favorables para la felicidad. -En caso contrario significa que habrá disputas y engaños. 
218,Amapola: ,Consuelo del dolor del cuerpo y del alma. 
219,Amar: ,Éxitos en el terreno sentimental. 
220,Amaranto: ,-Si vemos la flor es mal augurio. -Si solo vemos su color alcanzaremos nuestros objetivos. 
221,Amargura: ,-Cuando se refiere a nuestro estado de ánimo significa gran alegría. -Si se refiere a un sabor indica éxito en las operaciones comerciales. 
222,Amarillo: ,"Es el color de la intuición, de la inteligencia. "
223,Amasar: ,Indica que eres demasiado codicioso. 
224,Amatista: ,Presagio de suerte. Buen sentido común del soñador. 
225,Amazona: ,Alguien que se hace pasar por amiga no lo es en realidad. 
226,Ámbar: ,Es señal de dinero. Tu orgullo puede alejar de ti a la persona amada.  
227,Ambarina: ,Significa perfidia y astucia. 
228,Ambición: ,-Si es honesta significa éxito. -Si es exagerada indica contrariedades. 
229,Ambrosía: ,Debes tener cuidado con los gastos superfluos. 
230,Ambulancia: ,-Si la ambulancia contiene algún herido alguien a quien estimamos es amenazado por algún peligro. -Si el herido habla o se mueve indica que pronto tendremos noticias de alguien que habíamos olvidado. 
231,Amenazas: ,Corremos riesgo de disputas por rencores y celos. 
232,Ametralladora: ,-Si funciona bien predice éxito. -Si se encasquilla o no funciona bien indica que por más que nos esforcemos será imposible conseguir lo que deseábamos. 
233,Amianto: ,Corren peligro sus pertenencias. 
234,Amigos: ,"-Si en la realidad estamos atravesando una crisis soñar con un amigo indica que la crisis está terminada. -Si nuestra situación real es normal veremos como va vestido: *Si va mejor vestido que en la realidad señala que nuestra amistad es sólida. *Verlo desaliñado o sucio indica que nuestra amistad va en declive. *Si aparece tal y como es anuncia que recibiremos noticias, su visita o que nos encontraremos con el. "
235,Amnistía: ,Buenas noticias. 
236,Amolador: ,"Significa desorden en sus asuntos personales, familiares y profesionales. "
237,Amoniaco: ,Relaciones difíciles. Sufrirá ofensas. 
238,Amor: ,-Si se está enamorado este sueño es un reflejo de sus anhelos. -Si no se está enamorado y nos vemos desgraciados es que nos aman y viceversa.  
239,Amoríos: ,"Calumnia, maledicencia. "
240,Amortajar: ,Indica que somos serviciales y bondadosos. 
241,Ampolla: ,Empresa afortunada. 
242,Amputación: ,"-Si nos vemos con las manos amputadas es que nuestra situación mental nos impedirá hacer nada a derechas. -Si lo que vemos amputada es una pierna es que nos es muy difícil ""andar como Dios manda"". "
243,Analfabeto: ,-Serlo significa que pasaremos un período de incertidumbre. -Verlo es que usted se impone con facilidad. 
244,Análisis: ,Augura éxito en los negocios. 
245,Ananá: ,Presagia penas que vienen de lejos. 
246,Anaqueles: ,Preocupación. 
247,Anarquista: ,Se producirán hechos importantes que le conducirán a un período de calma y serenidad. 
248,Ancianos: ,Cuando es realmente viejo representa sabiduría. Es un sueño benéfico y protector. Sea hombre o mujer nos coloca en el lugar que nos corresponde. Velan por nosotros.Estos sueños siempre son trascendentales e impresionan. Es un buen sueño. Si el anciano es malvado lo que se refleja en el sueño es nuestra maldad oculta. 
249,Ancla: ,-Echar el ancla o ver que alguien la echa es un aviso de que debemos meditar si nos hallamos en el buen camino. -Si arriamos el ancla ya es hora de que nos pongamos en acción. 
250,Anchoas: ,Buena fortuna. 
251,Andamio: ,"-Si es sólido nuestros proyectos se realizarán con éxito. -Si lo vemos tambaleándose o hundido también se hundirán nuestros proyectos.  -Si estamos subidos en él, según el estado del andamio, se incrementarán tanto para bien como para mal. -Si alguien nos conduce hacia el andamio no dependerá de nosotros el éxito o el fracaso. "
252,Andrajos: ,Intrigas y disputas. Si los andrajos los llevamos nosotros nos anuncia miserias morales. 
253,Anécdota: ,Acontecimientos favorables. 
254,Anémona: ,Recibirá una noticia importante que le causará alegría. 
255,Anfiteatro: ,-Verlo indica que somos demasiado ambiciosos. -Estar en uno indica que algún allegado corre peligro. 
256,Ánfora: ,-Si está llena indica alegría profunda. -Si está vacía o rota peligro cercano. 
257,Ángel: ,"Soñar con ángeles u otros seres celestiales es uno de los mejores sueños que se pueden tener. Auguran el fin de todos los problemas que en estos momentos atormentan al soñador. En sentido espiritual el sueño refleja nuestra entrega al supremo. Si los ángeles están tristes, amenazadores o furiosos el cambio es para mal y en sentido espiritual reflejan nuestros temores e inseguridades. "
258,Ángelus: ,Si en sueños oímos al ángelus indica paz y consuelo. 
